section,key,value
metadata,condition,10
metadata,immune_reinfection_probability,10.0
metadata,ticks,156
metadata,runs,100

immune_reinfections_per_run,run,count
immune_reinfections_per_run,1,61
immune_reinfections_per_run,2,57
immune_reinfections_per_run,3,79
immune_reinfections_per_run,4,63
immune_reinfections_per_run,5,75
immune_reinfections_per_run,6,68
immune_reinfections_per_run,7,50
immune_reinfections_per_run,8,58
immune_reinfections_per_run,9,79
immune_reinfections_per_run,10,33
immune_reinfections_per_run,11,49
immune_reinfections_per_run,12,55
immune_reinfections_per_run,13,46
immune_reinfections_per_run,14,48
immune_reinfections_per_run,15,29
immune_reinfections_per_run,16,25
immune_reinfections_per_run,17,74
immune_reinfections_per_run,18,45
immune_reinfections_per_run,19,41
immune_reinfections_per_run,20,77
immune_reinfections_per_run,21,44
immune_reinfections_per_run,22,47
immune_reinfections_per_run,23,45
immune_reinfections_per_run,24,79
immune_reinfections_per_run,25,49
immune_reinfections_per_run,26,50
immune_reinfections_per_run,27,59
immune_reinfections_per_run,28,3
immune_reinfections_per_run,29,82
immune_reinfections_per_run,30,60
immune_reinfections_per_run,31,43
immune_reinfections_per_run,32,64
immune_reinfections_per_run,33,56
immune_reinfections_per_run,34,50
immune_reinfections_per_run,35,50
immune_reinfections_per_run,36,47
immune_reinfections_per_run,37,51
immune_reinfections_per_run,38,45
immune_reinfections_per_run,39,64
immune_reinfections_per_run,40,61
immune_reinfections_per_run,41,36
immune_reinfections_per_run,42,69
immune_reinfections_per_run,43,49
immune_reinfections_per_run,44,44
immune_reinfections_per_run,45,58
immune_reinfections_per_run,46,42
immune_reinfections_per_run,47,59
immune_reinfections_per_run,48,46
immune_reinfections_per_run,49,59
immune_reinfections_per_run,50,57
immune_reinfections_per_run,51,29
immune_reinfections_per_run,52,63
immune_reinfections_per_run,53,38
immune_reinfections_per_run,54,70
immune_reinfections_per_run,55,50
immune_reinfections_per_run,56,58
immune_reinfections_per_run,57,46
immune_reinfections_per_run,58,57
immune_reinfections_per_run,59,36
immune_reinfections_per_run,60,45
immune_reinfections_per_run,61,65
immune_reinfections_per_run,62,50
immune_reinfections_per_run,63,67
immune_reinfections_per_run,64,60
immune_reinfections_per_run,65,85
immune_reinfections_per_run,66,51
immune_reinfections_per_run,67,53
immune_reinfections_per_run,68,49
immune_reinfections_per_run,69,75
