section,key,value
metadata,condition,02
metadata,immune_reinfection_probability,2.0
metadata,ticks,156
metadata,runs,100

immune_reinfections_per_run,run,count
immune_reinfections_per_run,1,7
immune_reinfections_per_run,2,6
immune_reinfections_per_run,3,12
immune_reinfections_per_run,4,14
immune_reinfections_per_run,5,10
immune_reinfections_per_run,6,10
immune_reinfections_per_run,7,14
immune_reinfections_per_run,8,11
immune_reinfections_per_run,9,7
immune_reinfections_per_run,10,10
immune_reinfections_per_run,11,15
immune_reinfections_per_run,12,9
immune_reinfections_per_run,13,10
immune_reinfections_per_run,14,11
immune_reinfections_per_run,15,12
immune_reinfections_per_run,16,10
immune_reinfections_per_run,17,6
immune_reinfections_per_run,18,7
immune_reinfections_per_run,19,7
immune_reinfections_per_run,20,11
immune_reinfections_per_run,21,7
immune_reinfections_per_run,22,7
immune_reinfections_per_run,23,14
immune_reinfections_per_run,24,11
immune_reinfections_per_run,25,12
immune_reinfections_per_run,26,8
immune_reinfections_per_run,27,11
immune_reinfections_per_run,28,13
immune_reinfections_per_run,29,11
immune_reinfections_per_run,30,14
immune_reinfections_per_run,31,11
immune_reinfections_per_run,32,8
immune_reinfections_per_run,33,3
immune_reinfections_per_run,34,9
immune_reinfections_per_run,35,6
immune_reinfections_per_run,36,13
immune_reinfections_per_run,37,9
immune_reinfections_per_run,38,9
immune_reinfections_per_run,39,7
immune_reinfections_per_run,40,9
immune_reinfections_per_run,41,9
immune_reinfections_per_run,42,12
immune_reinfections_per_run,43,11
immune_reinfections_per_run,44,8
immune_reinfections_per_run,45,10
immune_reinfections_per_run,46,13
immune_reinfections_per_run,47,9
immune_reinfections_per_run,48,9
immune_reinfections_per_run,49,10
immune_reinfections_per_run,50,6
immune_reinfections_per_run,51,10
immune_reinfections_per_run,52,14
immune_reinfections_per_run,53,7
immune_reinfections_per_run,54,15
immune_reinfections_per_run,55,14
immune_reinfections_per_run,56,19
immune_reinfections_per_run,57,12
immune_reinfections_per_run,58,13
immune_reinfections_per_run,59,8
immune_reinfections_per_run,60,12
immune_reinfections_per_run,61,17
immune_reinfections_per_run,62,7
immune_reinfections_per_run,63,11
immune_reinfections_per_run,64,6
immune_reinfections_per_run,65,8
immune_reinfections_per_run,66,7
immune_reinfections_per_run,67,8
immune_reinfections_per_run,68,10
immune_reinfections_per_run,69,9
immune_reinfections_per_run,70,15
immune_reinfections_per_run,71,10
immune_reinfections_per_run,72,15
immune_reinfections_per_run,73,7
immune_reinfections_per_run,74,7
immune_reinfections_per_run,75,6
immune_reinfections_per_run,76,15
immune_reinfections_per_run,77,13
immune_reinfections_per_run,78,16
immune_reinfections_per_run,79,8
immune_reinfections_per_run,80,7
immune_reinfections_per_run,81,5
immune_reinfections_per_run,82,5
immune_reinfections_per_run,83,10
immune_reinfections_per_run,84,10
immune_reinfections_per_run,85,7
immune_reinfections_per_run,86,7
immune_reinfections_per_run,87,5
immune_reinfections_per_run,88,4
immune_reinfections_per_run,89,13
immune_reinfections_per_run,90,6
immune_reinfections_per_run,91,12
immune_reinfections_per_run,92,12
immune_reinfections_per_run,93,8
immune_reinfections_per_run,94,8
immune_reinfections_per_run,95,8
immune_reinfections_per_run,96,9
immune_reinfections_per_run,97,5
immune_reinfections_per_run,98,8
immune_reinfections_per_run,99,16
immune_reinfections_per_run,100,11

cumulative_reinfections_by_run,run,tick_0,tick_1,tick_2,tick_3,tick_4,tick_5,tick_6,tick_7,tick_8,tick_9,tick_10,tick_11,tick_12,tick_13,tick_14,tick_15,tick_16,tick_17,tick_18,tick_19,tick_20,tick_21,tick_22,tick_23,tick_24,tick_25,tick_26,tick_27,tick_28,tick_29,tick_30,tick_31,tick_32,tick_33,tick_34,tick_35,tick_36,tick_37,tick_38,tick_39,tick_40,tick_41,tick_42,tick_43,tick_44,tick_45,tick_46,tick_47,tick_48,tick_49,tick_50,tick_51,tick_52,tick_53,tick_54,tick_55,tick_56,tick_57,tick_58,tick_59,tick_60,tick_61,tick_62,tick_63,tick_64,tick_65,tick_66,tick_67,tick_68,tick_69,tick_70,tick_71,tick_72,tick_73,tick_74,tick_75,tick_76,tick_77,tick_78,tick_79,tick_80,tick_81,tick_82,tick_83,tick_84,tick_85,tick_86,tick_87,tick_88,tick_89,tick_90,tick_91,tick_92,tick_93,tick_94,tick_95,tick_96,tick_97,tick_98,tick_99,tick_100,tick_101,tick_102,tick_103,tick_104,tick_105,tick_106,tick_107,tick_108,tick_109,tick_110,tick_111,tick_112,tick_113,tick_114,tick_115,tick_116,tick_117,tick_118,tick_119,tick_120,tick_121,tick_122,tick_123,tick_124,tick_125,tick_126,tick_127,tick_128,tick_129,tick_130,tick_131,tick_132,tick_133,tick_134,tick_135,tick_136,tick_137,tick_138,tick_139,tick_140,tick_141,tick_142,tick_143,tick_144,tick_145,tick_146,tick_147,tick_148,tick_149,tick_150,tick_151,tick_152,tick_153,tick_154,tick_155
cumulative_reinfections_by_run,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
cumulative_reinfections_by_run,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6
cumulative_reinfections_by_run,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,12
cumulative_reinfections_by_run,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,6,6,7,7,7,7,8,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
